draw_id,draw_date,prize_class,match_code,description_en,short_label,winners,payout_eur,total_paid_eur
51,2013-03-08,8,3+1,Match 3 + 1 Euro number,3 + 1,17371,20.1,349157.1
51,2013-03-08,9,2+2,Match 2 + 2 Euro numbers,2 + 2,23201,13.4,310893.4
51,2013-03-08,10,3+0,Match 3 + 0 Euro numbers,3 + 0,21514,13.4,288287.6
51,2013-03-08,11,1+2,Match 1 + 2 Euro numbers,1 + 2,121824,8.3,1011139.2
51,2013-03-08,12,2+1,Match 2 + 1 Euro number,2 + 1,256451,7.6,1949027.6
52,2013-03-15,1,5+2,Match 5 + 2 Euro numbers,5 + 2,0,0.0,0.0
52,2013-03-15,2,5+1,Match 5 + 1 Euro number,5 + 1,0,0.0,0.0
52,2013-03-15,3,5+0,Match 5 + 0 Euro numbers,5 + 0,1,117660.4,117660.4
52,2013-03-15,4,4+2,Match 4 + 2 Euro numbers,4 + 2,29,3745.1,108607.9
52,2013-03-15,5,4+1,Match 4 + 1 Euro number,4 + 1,266,323.2,85971.2
52,2013-03-15,6,4+0,Match 4 + 0 Euro numbers,4 + 0,342,158.7,54275.4
52,2013-03-15,7,3+2,Match 3 + 2 Euro numbers,3 + 2,1253,61.3,76808.9
52,2013-03-15,8,3+1,Match 3 + 1 Euro number,3 + 1,14020,26.4,370128.0
52,2013-03-15,9,2+2,Match 2 + 2 Euro numbers,2 + 2,18647,17.8,331916.6
52,2013-03-15,10,3+0,Match 3 + 0 Euro numbers,3 + 0,17012,17.8,302813.6
52,2013-03-15,11,1+2,Match 1 + 2 Euro numbers,1 + 2,111523,9.7,1081773.1
52,2013-03-15,12,2+1,Match 2 + 1 Euro number,2 + 1,227970,9.1,2074527.0
53,2013-03-22,1,5+2,Match 5 + 2 Euro numbers,5 + 2,0,0.0,0.0
53,2013-03-22,2,5+1,Match 5 + 1 Euro number,5 + 1,2,473704.6,947409.2
53,2013-03-22,3,5+0,Match 5 + 0 Euro numbers,5 + 0,1,128665.9,128665.9
53,2013-03-22,4,4+2,Match 4 + 2 Euro numbers,4 + 2,33,3599.0,118767.0
53,2013-03-22,5,4+1,Match 4 + 1 Euro number,4 + 1,395,238.0,94010.0
53,2013-03-22,6,4+0,Match 4 + 0 Euro numbers,4 + 0,538,110.3,59341.4
53,2013-03-22,7,3+2,Match 3 + 2 Euro numbers,3 + 2,1368,61.4,83995.2
53,2013-03-22,8,3+1,Match 3 + 1 Euro number,3 + 1,20896,19.4,405382.4
53,2013-03-22,9,2+2,Match 2 + 2 Euro numbers,2 + 2,20524,16.6,340698.4
53,2013-03-22,10,3+0,Match 3 + 0 Euro numbers,3 + 0,24149,14.7,354990.3
53,2013-03-22,11,1+2,Match 1 + 2 Euro numbers,1 + 2,105509,11.2,1181700.8
53,2013-03-22,12,2+1,Match 2 + 1 Euro number,2 + 1,303260,7.4,2244124.0
54,2013-03-29,1,5+2,Match 5 + 2 Euro numbers,5 + 2,0,0.0,0.0
54,2013-03-29,2,5+1,Match 5 + 1 Euro number,5 + 1,1,583054.0,583054.0
54,2013-03-29,3,5+0,Match 5 + 0 Euro numbers,5 + 0,1,151594.0,151594.0
54,2013-03-29,4,4+2,Match 4 + 2 Euro numbers,4 + 2,38,3682.4,139931.2
54,2013-03-29,5,4+1,Match 4 + 1 Euro number,4 + 1,434,255.2,110756.8
54,2013-03-29,6,4+0,Match 4 + 0 Euro numbers,4 + 0,543,128.8,69938.4
54,2013-03-29,7,3+2,Match 3 + 2 Euro numbers,3 + 2,1765,56.1,99016.5
54,2013-03-29,8,3+1,Match 3 + 1 Euro number,3 + 1,21214,22.5,477315.0
54,2013-03-29,9,2+2,Match 2 + 2 Euro numbers,2 + 2,27521,15.5,426575.5
54,2013-03-29,10,3+0,Match 3 + 0 Euro numbers,3 + 0,25463,15.5,394676.5
54,2013-03-29,11,1+2,Match 1 + 2 Euro numbers,1 + 2,153737,9.1,1399006.7
54,2013-03-29,12,2+1,Match 2 + 1 Euro number,2 + 1,331119,8.0,2648952.0
55,2013-04-05,1,5+2,Match 5 + 2 Euro numbers,5 + 2,0,0.0,0.0
55,2013-04-05,2,5+1,Match 5 + 1 Euro number,5 + 1,2,326379.2,652758.4
55,2013-04-05,3,5+0,Match 5 + 0 Euro numbers,5 + 0,1,169717.2,169717.2
55,2013-04-05,4,4+2,Match 4 + 2 Euro numbers,4 + 2,43,3643.3,156661.9
55,2013-04-05,5,4+1,Match 4 + 1 Euro number,4 + 1,417,297.4,124015.8
